time,8508a_volt
1721413875.2680504,8e-07
1721413900.3851907,7e-07
1721413925.5023897,9e-07
1721413950.6199234,8e-07
1721413975.7367065,1e-06
1721414000.8538818,7e-07
1721414025.9710572,1e-06
1721414051.0882266,1e-06
1721414076.2054062,7e-07
1721414101.3225992,9e-07
1721414126.4398055,9e-07
1721414151.5569165,1e-06
1721414176.6741068,9e-07
1721414201.7913,9e-07
1721414226.9085069,9e-07
1721414252.0256615,9e-07
1721414277.1427834,7e-07
1721414302.2600062,8e-07
1721414327.3771725,9e-07
1721414352.494329,1e-06
1721414377.611551,8e-07
1721414402.7286837,9e-07
1721414427.8458278,9e-07
1721414452.9629638,1.1e-06
1721414478.0801842,9e-07
1721414503.197386,1e-06
1721414528.3145392,9e-07
1721414553.4317386,9e-07
1721414578.5489068,8e-07
1721414603.6660764,8e-07
1721414628.783233,1e-06
1721414653.900403,1e-06
1721414679.0176227,7e-07
1721414704.1347997,1.1e-06
1721414729.2519946,1e-06
1721414754.369131,8e-07
1721414779.4862795,1e-06
1721414804.603507,9e-07
1721414829.720604,1.1e-06
1721414854.8382301,8e-07
1721414879.9549792,1e-06
1721414905.072161,1e-06
1721414930.1893358,1.1e-06
1721414955.3065376,9e-07
1721414980.4237776,1e-06
1721415005.540901,9e-07
1721415030.658062,9e-07
1721415055.7752435,9e-07
1721415080.8923943,1e-06
1721415106.0095325,1.1e-06
1721415131.1267815,9e-07
1721415156.2440038,9e-07
1721415181.3610985,1.1e-06
1721415206.4782817,9e-07
1721415231.5954275,1.1e-06
1721415256.712645,7e-07
1721415281.8297849,1.1e-06
1721415306.9469917,1e-06
1721415332.064168,9e-07
1721415357.1813285,1e-06
1721415382.2984824,1.1e-06
1721415407.415744,1e-06
1721415432.5328364,1.1e-06
1721415457.650062,8e-07
1721415482.7672174,1e-06
1721415507.884415,9e-07
1721415533.0019739,9e-07
1721415558.1187632,1e-06
1721415583.2359993,9e-07
1721415608.3531244,1e-06
1721415633.4703252,9e-07
1721415658.5875618,8e-07
1721415683.7046285,9e-07
1721415708.8218186,9e-07
1721415733.9390085,9e-07
1721415759.0561712,8e-07
1721415784.1733572,9e-07
1721415809.2905366,1.2e-06
1721415834.4078257,7e-07
1721415859.524889,9e-07
1721415884.6420314,1e-06
1721415909.7592547,8e-07
1721415934.8763838,1e-06
1721415959.993599,9e-07
1721415985.1107457,1e-06
1721416010.2279584,1.1e-06
1721416035.3451376,8e-07
1721416060.4622881,1e-06
1721416085.5795517,7e-07
1721416110.6966865,9e-07
1721416135.813816,9e-07
1721416160.93096,1.1e-06
1721416186.0481496,1.1e-06
1721416211.165355,8e-07
1721416236.2825313,9e-07
1721416261.3997643,9e-07
1721416286.5168867,9e-07
1721416311.633964,8e-07
1721416336.7509754,9e-07
1721416361.868046,9e-07
1721416386.9850233,1e-06
1721416412.10207,7e-07
1721416437.2191215,1e-06
1721416462.3362043,7e-07
1721416487.4532588,9e-07
1721416512.5703285,9e-07
1721416537.6874342,5e-07
1721416562.8045182,8e-07
1721416587.921549,9e-07
1721416613.0386112,1e-06
1721416638.1557407,1e-06
1721416663.2727811,1e-06
1721416688.3898885,9e-07
1721416713.506962,5e-07
1721416738.6241064,8e-07
1721416763.741184,9e-07
1721416788.858258,7e-07
1721416813.9753828,9e-07
1721416839.092499,8e-07
1721416864.2096202,8e-07
1721416889.3266897,1e-06
1721416914.4439085,8e-07
1721416939.5609322,9e-07
1721416964.6780791,8e-07
1721416989.7951674,1e-06
1721417014.912322,6e-07
1721417040.0294309,1e-06
1721417065.1465383,9e-07
1721417090.2637517,8e-07
1721417115.380819,9e-07
1721417140.4979239,8e-07
1721417165.6150522,6e-07
1721417190.732132,7e-07
1721417215.8492763,7e-07
1721417240.966433,7e-07
1721417266.0836027,7e-07
1721417291.2007027,1e-06
1721417316.3178277,4e-07
1721417341.4349873,9e-07
1721417366.5521307,8e-07
1721417391.6692584,5e-07
1721417416.7863877,7e-07
1721417441.90359,8e-07
1721417467.0207307,6e-07
1721417492.1378393,1e-06
1721417517.2549744,6e-07
1721417542.3721075,8e-07
1721417567.4892464,6e-07
1721417592.6063945,9e-07
1721417617.7236004,6e-07
1721417642.8406885,6e-07
1721417667.9577966,7e-07
1721417693.0749493,7e-07
1721417718.1920974,5e-07
1721417743.3092535,6e-07
1721417768.4263883,7e-07
1721417793.5435636,7e-07
1721417818.6607034,8e-07
1721417843.777814,7e-07
1721417868.8949747,7e-07
1721417894.0121353,6e-07
1721417919.129345,9e-07
1721417944.2464855,6e-07
1721417969.3637028,8e-07
1721417994.4807234,7e-07
1721418019.597871,3e-07
1721418044.7150137,7e-07
1721418069.8321586,6e-07
1721418094.9493258,6e-07
1721418120.0664623,8e-07
1721418145.1836843,6e-07
1721418170.3007812,6e-07
1721418195.417917,6e-07
1721418220.5350642,7e-07
1721418245.6522431,6e-07
1721418270.7693427,5e-07
1721418295.8864846,7e-07
1721418321.0036988,4e-07
1721418346.1208136,7e-07
1721418371.2380297,5e-07
1721418396.3552425,3e-07
1721418421.472461,8e-07
1721418446.5896125,6e-07
1721418471.706783,6e-07
1721418496.824015,6e-07
1721418521.9411252,7e-07
1721418547.0583508,6e-07
1721418572.1756017,6e-07
1721418597.2926705,4e-07
1721418622.409857,7e-07
1721418647.527039,7e-07
1721418672.6442404,5e-07
1721418697.7614021,6e-07
1721418722.878568,4e-07
1721418747.995789,7e-07
1721418773.1129117,7e-07
1721418798.2300847,7e-07
1721418823.3473039,4e-07
1721418848.4649723,6e-07
1721418873.581671,6e-07
1721418898.6987793,5e-07
1721418923.816003,4e-07
1721418948.933096,4e-07
1721418974.0503476,6e-07
1721418999.1675193,8e-07
1721419024.28467,6e-07
1721419049.4017959,5e-07
1721419074.518958,5e-07
1721419099.636146,5e-07
1721419124.7532964,7e-07
1721419149.8704822,5e-07
1721419174.9877212,6e-07
1721419200.1047997,5e-07
1721419225.2219715,5e-07
1721419250.339112,4e-07
1721419275.456324,6e-07
1721419300.57352,6e-07
1721419325.6906846,5e-07
1721419350.8078313,5e-07
1721419375.9249494,4e-07
1721419401.0421374,5e-07
1721419426.1592686,7e-07
1721419451.2768712,6e-07
1721419476.3936145,3e-07
1721419501.5108004,6e-07
1721419526.6279871,6e-07
1721419551.7451074,2e-07
1721419576.8622868,6e-07
1721419601.9793985,4e-07
1721419627.0965776,4e-07
1721419652.2137432,6e-07
1721419677.33089,3e-07
1721419702.448069,3e-07
1721419727.56524,6e-07
1721419752.682418,3e-07
1721419777.7997854,7e-07
1721419802.9167554,2e-07
1721419828.033886,6e-07
1721419853.1510222,3e-07
1721419878.2682016,5e-07
1721419903.3853319,4e-07
1721419928.502505,3e-07
1721419953.6197062,5e-07
1721419978.736842,5e-07
1721420003.8539906,3e-07
1721420028.9711702,4e-07
1721420054.0883095,4e-07
1721420079.2054727,1e-07
1721420104.3226488,5e-07
1721420129.4398618,3e-07
1721420154.556949,4e-07
1721420179.674131,4e-07
1721420204.7913015,5e-07
1721420229.90847,2e-07
1721420255.025623,4e-07
1721420280.1427445,4e-07
1721420305.2599695,6e-07
1721420330.3770635,4e-07
1721420355.494211,1e-07
1721420380.6113873,4e-07
1721420405.72854,3e-07
1721420430.8456292,4e-07
1721420455.962734,5e-07
1721420481.0798924,3e-07
1721420506.1969612,3e-07
1721420531.3140566,4e-07
1721420556.4312582,4e-07
1721420581.548327,4e-07
1721420606.6654267,2e-07
1721420631.7825472,4e-07
1721420656.900036,3e-07
1721420682.0168545,3e-07
1721420707.1340084,6e-07
1721420732.251067,3e-07
1721420757.3681877,2e-07
1721420782.485328,3e-07
1721420807.6024437,4e-07
1721420832.7196636,4e-07
1721420857.8367298,3e-07
1721420882.9538782,6e-07
1721420908.0710032,3e-07
1721420933.1881356,3e-07
1721420958.3052974,1e-07
1721420983.4224193,2e-07
1721421008.5396118,4e-07
1721421033.6567054,2e-07
1721421058.7738495,4e-07
1721421083.8910134,5e-07
1721421109.008147,2e-07
1721421134.1253004,4e-07
1721421159.2424862,0.0
1721421184.3596916,6e-07
1721421209.4767356,3e-07
1721421234.5938933,2e-07
1721421259.7115815,2e-07
1721421284.8281627,4e-07
1721421309.945318,1e-07
1721421335.062462,4e-07
1721421360.179667,3e-07
1721421385.2968009,3e-07
1721421410.4139192,1e-07
1721421435.5310838,3e-07
1721421460.648226,1e-07
1721421485.7653985,3e-07
1721421510.8825378,3e-07
1721421535.999729,2e-07
1721421561.1168358,4e-07
1721421586.233985,2e-07
1721421611.3511763,2e-07
1721421636.4684205,2e-07
1721421661.5854855,3e-07
1721421686.702594,2e-07
1721421711.8197916,2e-07
1721421736.9369104,2e-07
1721421762.0540693,3e-07
1721421787.1712043,4e-07
1721421812.2883725,3e-07
1721421837.4055145,2e-07
1721421862.522673,1e-07
